Date,Open,High,Low,Close,Adj Close,Volume
2018-12-31,3380.236084,3590.927002,3235.652832,3572.601807,3572.601807,30107665780
2019-01-07,3574.443359,3591.637695,3093.601318,3100.221680,3100.221680,32670144277
2019-01-14,3104.109619,3306.381836,3098.569580,3168.373535,3168.373535,33858832411
2019-01-21,3167.809570,3205.380127,3115.655518,3140.374756,3140.374756,32471502056
2019-01-28,3140.627930,3142.062012,2973.738037,3023.359619,3023.359619,35042067852
2019-02-04,3026.678223,3263.156494,2990.340332,3258.583740,3258.583740,36296062119
2019-02-11,3263.374023,3263.954346,3191.997314,3252.190186,3252.190186,39429060407
2019-02-18,3250.539307,3713.912354,3248.778564,3359.558594,3359.558594,56327533384
2019-02-25,3356.702637,3446.437988,3330.305420,3381.982910,3381.982910,49622900787
2019-03-04,3380.150879,3549.040283,3293.708496,3518.216064,3518.216064,61358421207
2019-03-11,3520.121582,3597.169189,3431.087646,3555.384033,3555.384033,59556589067
2019-03-18,3560.247314,3596.863281,3524.140625,3560.789307,3560.789307,59918639500
2019-03-25,3562.510742,3828.884521,3478.057373,3657.865967,3657.865967,63128311264
2019-04-01,3657.873779,4722.585938,3650.339111,4634.541016,4634.541016,109652180027
2019-04-08,4635.320313,4810.051270,4391.529785,4571.382813,4571.382813,87615177839
2019-04-15,4571.028320,4766.286621,4444.608398,4726.600586,4726.600586,80154763698
2019-04-22,4724.683105,5035.355469,4649.991211,4740.140625,4740.140625,94476318839
2019-04-29,4739.846680,5258.241211,4658.425781,5181.746094,5181.746094,95595056833
2019-05-06,5177.912598,6679.946777,5053.339355,6205.382813,6205.382813,126504831688
2019-05-13,6204.320801,7424.996094,6140.264648,7342.637695,7342.637695,178360159478
2019-05-20,7341.952148,7749.451172,6765.669434,7737.375977,7737.375977,154666273576
2019-05-27,7738.140137,8089.799805,7301.193359,7824.938965,7824.938965,154903218125
2019-06-03,7823.854980,7825.913574,6696.885254,6791.208984,6791.208984,124214459268
2019-06-10,6794.925781,8313.682617,6701.435059,8017.551758,8017.551758,119847701039
2019-06-17,8012.591797,9889.308594,8012.591797,9536.269531,9536.269531,120557200904
2019-06-24,9533.896484,12135.598633,9228.685547,9520.881836,9520.881836,194724850890
2019-07-01,9503.080078,10636.914063,8618.661133,10198.811523,10198.811523,161002112276
2019-07-08,10195.026367,11672.978516,9080.853516,9098.846680,9098.846680,160821333151
2019-07-15,9100.425781,9840.711914,8166.900391,9448.137695,9448.137695,140057230252
2019-07-22,9445.113281,9493.153320,8311.523438,8582.595703,8582.595703,100856747461
2019-07-29,8578.389648,9913.295898,8472.812500,9875.908203,9875.908203,99691593433
2019-08-05,9867.402344,10960.326172,9867.402344,10281.453125,10281.453125,125954566734
2019-08-12,10285.912109,10285.912109,8687.370117,9327.295898,9327.295898,108015415568
2019-08-19,9331.008789,9876.574219,8852.957031,9097.291992,9097.291992,101387934712
2019-08-26,9087.928711,9435.245117,8503.275391,8877.674805,8877.674805,94378247785
2019-09-02,8877.125000,9879.585938,8869.838867,9475.269531,9475.269531,105474349558
2019-09-09,9476.279297,9482.874023,9035.238281,9336.203125,9336.203125,92934047106
2019-09-16,9336.319336,9375.892578,8922.421875,9138.951172,9138.951172,97835846068
2019-09-23,9136.746094,9138.341797,7223.498535,7405.604980,7405.604980,113797741173
2019-09-30,7405.642090,7768.811035,7154.353516,7272.209473,7272.209473,89190177954
2019-10-07,7273.087402,7918.094727,7201.986816,7545.005371,7545.005371,107736184744
2019-10-14,7544.848145,7628.694824,7101.643066,7370.443848,7370.443848,95175753178
2019-10-21,7373.166016,9044.624023,6689.853027,8617.566406,8617.566406,159160828027
2019-10-28,8629.644531,8850.374023,8083.826172,8270.445313,8270.445313,161858271032
2019-11-04,8270.670898,8541.182617,7958.786133,8215.490234,8215.490234,145326450155
2019-11-11,8216.752930,8241.079102,7667.853516,7759.696777,7759.696777,121600005924
2019-11-18,7756.082520,7822.417969,6273.813965,6394.292969,6394.292969,155353019041
2019-11-25,6387.089355,7111.991211,6002.068359,6737.856934,6737.856934,147487867569
2019-12-02,6737.624512,6978.241211,6473.701172,6839.696289,6839.696289,109545148057
2019-12-09,6837.390137,6879.578613,6226.675781,6429.296875,6429.296875,110194957195
2019-12-16,6430.520996,6785.528320,5884.808105,6779.712402,6779.712402,148882013880
2019-12-23,6777.287598,6906.506348,6465.440430,6638.048340,6638.048340,145361431536
2019-12-30,6635.920410,6760.608398,6187.711426,6640.666504,6640.666504,133848480766
2020-01-06,6639.891113,7551.094238,6637.792969,7369.640137,7369.640137,166105100121
2020-01-13,7367.191406,8263.184570,7263.319824,7847.591797,7847.591797,217357193491
2020-01-20,7846.137695,7936.468262,7489.096191,7797.023926,7797.023926,149291787003
2020-01-27,7797.458008,8657.195313,7797.458008,8426.542969,8426.542969,192120066543
2020-02-03,8426.830078,9253.755859,8247.303711,9238.546875,9238.546875,217686833044
2020-02-10,9237.529297,9616.425781,8913.675781,9163.173828,9163.173828,276574820849
2020-02-17,9165.135742,9429.613281,8772.707031,9157.429688,9157.429688,280130085485
2020-02-24,9154.724609,9180.375977,7681.687012,7748.164551,7748.164551,273191800221
2020-03-02,7748.897949,8161.130371,7117.157715,7121.034180,7121.034180,246323176287
2020-03-09,7123.695313,7184.403809,3672.950928,4834.835938,4834.835938,290577373870
2020-03-16,4828.482910,6377.578613,4098.807129,5452.092773,5452.092773,285698169037
2020-03-23,5453.140137,6359.286133,5322.305176,5315.300293,5315.300293,248443125264
2020-03-30,5318.437500,6542.119141,5305.325195,6284.361816,6284.361816,238259285314
2020-04-06,6281.511719,6825.347656,6209.063477,6377.300781,6377.300781,251628782823
2020-04-13,6372.292480,6694.730957,6018.864258,6616.665039,6616.665039,227661868118
2020-04-20,6614.316895,7116.673828,6296.366699,7097.449219,7097.449219,228906695084
2020-04-27,7097.034668,8689.920898,7097.034668,8119.242676,8119.242676,299464969726
2020-05-04,8117.669434,9224.347656,7652.442871,8078.630859,8078.630859,331935439152
2020-05-11,8077.804688,9077.220703,7748.861328,8938.742188,8938.742188,300988317773
2020-05-18,8943.322266,9152.528320,8057.478516,8058.640137,8058.640137,226048064336
2020-05-25,8054.734375,8738.430664,7980.670898,8510.137695,8510.137695,200464668694
2020-06-01,8512.427734,9164.186523,8376.345703,8621.272461,8621.272461,172765403387
2020-06-08,8622.342773,8726.690430,8203.429688,8342.949219,8342.949219,141916933955
2020-06-15,8342.280273,8468.880859,7994.819824,8324.283203,8324.283203,123092380989
2020-06-22,8321.854492,8573.328125,8000.972168,8146.456055,8146.456055,111912598999
2020-06-29,8143.290527,8272.471680,7983.574219,8067.406738,8067.406738,91405802455
2020-07-06,8066.435059,8338.976563,8044.429199,8201.409180,8201.409180,100835647545
2020-07-13,8202.032227,8185.569336,7959.783203,8026.401367,8026.401367,93193272697
2020-07-20,8027.627930,8599.665039,7984.590332,8499.583984,8499.583984,103660641077
2020-07-27,8499.627930,10216.784180,8474.470703,9382.727539,9382.727539,159800906791
2020-08-03,9374.371094,10042.123047,9346.390625,9910.367188,9910.367188,124866047863
2020-08-10,9898.923828,10264.138672,9482.161133,10034.041992,10034.041992,147386582628
2020-08-17,10036.450195,10413.766602,9706.492188,9887.043945,9887.043945,136206057436
2020-08-24,9886.061523,9975.784180,9459.436523,9824.922852,9824.922852,126297689053
2020-08-31,9826.433594,10126.694336,8402.324219,8686.393555,8686.393555,186783227790
2020-09-07,8686.939453,8929.173828,8388.907227,8719.929688,8719.929688,223385127066
2020-09-14,8724.134766,9404.033203,8672.970703,9233.060547,9233.060547,177907415980
2020-09-21,9230.236328,9286.017578,8744.903320,9261.516602,9261.516602,225827049767
2020-09-28,9262.671875,9380.097656,8894.071289,9103.885742,9103.885742,292777266714
2020-10-05,9109.812500,9671.505859,8972.215820,9634.763672,9634.763672,218082966555
2020-10-12,9641.917969,9902.963867,9523.671875,9800.714844,9800.714844,138047488367
2020-10-19,9810.681641,11236.409180,9745.417969,10998.767578,10998.767578,178149413355
